Geneid,log2FoldChange,pvalue,padj
Os02g0236600,1.635849806,0.007319691,0.04105632
Os07g0277200,1.640683017,0.007321013,0.04105632
Os10g0511900,-0.444289104,0.007309359,0.041008912
Os01g0777200,-0.570144416,0.007278003,0.040841935
Os04g0179200,1.461104679,0.007272403,0.040819447
Os01g0881300,-0.47717479,0.007267044,0.040798307
Os10g0481300,2.389142979,0.007260687,0.040771548
Os05g0588800,-0.600431405,0.007253622,0.040740805
Os02g0507600,-0.968335067,0.007251482,0.040737719
Os08g0191600,-0.405762703,0.007241922,0.04069293
Os09g0394500,0.476495948,0.007234967,0.040662766
Os02g0613000,-0.775574793,0.007217514,0.040573574
Os04g0111200,0.865998755,0.007212108,0.040560187
Os09g0378300,0.410030462,0.007213549,0.040560187
Os01g0708350,-0.554504431,0.00720991,0.040557523
Os02g0703600,-2.700140738,0.007199622,0.040508544
Os09g0340500,-5.330895277,0.007197565,0.040505867
Os02g0780700,-0.46936213,0.007183731,0.040436893
Os11g0275500,0.621114545,0.0071722,0.040380857
Os01g0232400,-0.369063942,0.00716885,0.040370864
Os03g0233000,-1.655479513,0.007162747,0.040345366
Os04g0457800,0.459944429,0.007160892,0.040343787
Os01g0133832,-1.013303251,0.007155664,0.040323199
Os02g0572900,-0.465145595,0.007153384,0.040319218
Os02g0481700,-0.434998581,0.007151213,0.04031585
Os12g0580700,-0.459042873,0.007138602,0.040253608
Os03g0811500,-0.455063193,0.007132115,0.04022588
Os12g0548300,0.585020828,0.007120344,0.040168335
Os06g0181100,-0.7295251,0.007118747,0.040168171
Os12g0630100,1.642623052,0.007107733,0.040114853
Os02g0617100,2.017213939,0.007104377,0.040104745
Os04g0476650,-1.1757383,0.007102293,0.040101818
Os01g0574500,-0.443749771,0.007082552,0.040009703
Os04g0615800,-1.662333933,0.007084417,0.040009703
Os12g0592900,-1.129033507,0.007084239,0.040009703
Os01g0726400,-0.789921864,0.007076473,0.039991282
Os09g0298700,-0.572702264,0.007076223,0.039991282
Os08g0187500,0.583607789,0.007064987,0.03994399
Os08g0282700,-0.844539209,0.00706411,0.03994399
Os11g0491400,-0.562499669,0.007051221,0.039883761
Os10g0563200,-0.593725346,0.007050232,0.039883761
Os04g0523812,-1.024907868,0.007047001,0.039877499
Os07g0172600,-0.645866576,0.00704322,0.039864905
Os01g0119800,-0.897861149,0.007034685,0.039825394
Os01g0322700,2.971821035,0.007032513,0.039821896
Os05g0160800,4.26295701,0.007021993,0.039771116
Os05g0564200,-0.348659539,0.007021549,0.039771116
Os07g0571500,-1.116780671,0.007016015,0.039754834
Os02g0224100,0.943485618,0.007013145,0.039749657
Os04g0288500,3.734576358,0.00701355,0.039749657
Os07g0134000,1.158667629,0.0070048,0.039717636
Os05g0322900,1.36350088,0.006999573,0.039696781
Os03g0708000,0.517855536,0.006992252,0.039664039
Os02g0177500,0.468272687,0.006983967,0.039625818
Os05g0165800,-0.897475632,0.006972455,0.03956926
Os02g0198600,0.373207048,0.006970608,0.03956754
Os01g0806101,-4.585486613,0.00696521,0.039545661
Os01g0837000,-0.691523902,0.006944301,0.039435686
Os01g0851600,-0.769856397,0.006938447,0.039411176
Os02g0781700,-0.389809164,0.006932593,0.03938666
Os04g0635700,-0.874645661,0.00693254,0.03938666
Os05g0116000,0.419496949,0.006925762,0.039365304
Os07g0606400,-1.673920569,0.006913627,0.039305052
Os10g0503700,-0.420792602,0.006909549,0.039297922
Os10g0563900,3.041874935,0.006910839,0.039297922
Os09g0122500,1.475429849,0.006909336,0.039297922
Os09g0505700,-0.348466279,0.006905279,0.039292465
Os10g0339400,-0.41457825,0.00690171,0.039280877
Os07g0520600,0.723462618,0.006897691,0.039266725
Os10g0568200,-0.945581432,0.006891445,0.039239887
Os06g0663900,1.517750489,0.00688336,0.039202561
Os05g0437100,-1.061615111,0.006879908,0.039191615
Os04g0482800,0.465568035,0.006873184,0.039162015
Os04g0629500,-0.43627753,0.006872126,0.039162015
Os01g0967600,0.550927425,0.006867295,0.039145871
Os02g0567100,0.783990926,0.006864627,0.039139373
Os10g0546600,0.587258062,0.006864576,0.039139373
Os03g0424800,0.462529006,0.006856475,0.039126003
Os02g0534400,0.603921785,0.00685821,0.039126003
Os05g0583400,0.580849745,0.006859228,0.039126003
Os05g0541700,-0.567062847,0.006844697,0.039069206
Os03g0355600,0.35525137,0.00683532,0.039024379
Os02g0113300,-0.51143666,0.006832816,0.039018778
Os07g0530600,-1.227160621,0.006828641,0.039003626
Os03g0772900,2.105490514,0.006822121,0.038975073
Os08g0556400,1.316827971,0.006820961,0.038975073
Os01g0675800,-0.832947928,0.006809803,0.03892214
Os03g0747800,0.494208262,0.006808766,0.03892214
Os04g0224900,-0.441047697,0.006809818,0.03892214
Os10g0482900,-0.796998036,0.006801752,0.038902074
Os07g0240200,-2.502037183,0.006796937,0.038883216
Os02g0467600,0.837805563,0.006777243,0.038779211
Os10g0578800,1.364048656,0.006775206,0.038776215
Os02g0254700,-0.381936349,0.006773112,0.038772888
Os04g0598200,0.537667203,0.006763141,0.038726745
Os06g0713900,-0.429934486,0.00676354,0.038726745
Os03g0261100,0.911670739,0.00676035,0.038725787
Os03g0228200,-0.75793739,0.006757141,0.038716058
Os06g0111600,-0.683484149,0.006745799,0.038659722
Os01g0228500,-0.488402247,0.006736726,0.038616363
Os06g0130100,0.850238346,0.006727002,0.038569248
Os04g0649700,-0.488506192,0.006724875,0.038565683
Os03g0302100,-2.152312783,0.006716946,0.038536786
Os03g0805500,0.507858931,0.006718332,0.038536786
Os04g0578400,-0.634283273,0.006717914,0.038536786
Os10g0102900,-0.519052946,0.00671005,0.038515147
Os01g0612350,0.450899239,0.006701296,0.038473517
Os02g0324300,-0.416771777,0.006693805,0.038439121
Os02g0319100,0.417860884,0.006689776,0.038424596
Os04g0499100,0.762674294,0.006654796,0.03823225
Os01g0655400,-0.387579499,0.006650791,0.038217813
Os04g0568700,-0.828884038,0.006635842,0.03814046
Os02g0188000,-0.514370977,0.006629514,0.03811264
Os01g0649100,0.420752992,0.006624818,0.038094187
Os02g0122400,0.560113651,0.00660953,0.038014814
Os09g0309100,-0.469349929,0.006599979,0.037968401
Os04g0567800,0.71457259,0.006584415,0.037887371
Os01g0783600,-0.670376335,0.006572699,0.037828452
Os10g0364900,-0.91587223,0.006559982,0.037763745
Os12g0180400,-0.441573123,0.0065459,0.037691146
Os10g0475100,0.715663442,0.006531505,0.037616711
Os01g0726100,2.553561849,0.006528536,0.037614044
Os02g0796700,-0.438465143,0.00652683,0.037614044
Os10g0431000,-0.361251586,0.006529574,0.037614044
Os01g0502700,1.382644701,0.006493485,0.037431399
Os01g0812200,-0.491001038,0.006490817,0.037424441
Os12g0586600,0.425077653,0.006487605,0.037414335
Os05g0278500,1.292869355,0.006469766,0.03731986
Os08g0209000,0.471193048,0.006469406,0.03731986
Os06g0720100,-0.540521911,0.00645403,0.037245861
Os03g0279400,0.601446875,0.006438891,0.037166866
Os02g0602100,-0.452828267,0.006435359,0.037154848
Os04g0488600,0.679026525,0.006434788,0.037154848
Os01g0663500,0.510725237,0.006429425,0.037150387
Os01g0699100,-1.01116404,0.006429276,0.037150387
Os03g0804700,-0.553749248,0.006431687,0.037150387
Os02g0139900,-1.175196744,0.006426765,0.037150387
Os02g0321900,0.622111991,0.006430401,0.037150387
Os10g0198333,-0.606657999,0.006429961,0.037150387
Os07g0556300,0.537886763,0.006402421,0.037031427
Os08g0127500,0.936988358,0.006377834,0.03689755
Os10g0130800,1.234199449,0.006376565,0.03689755
Os07g0202300,0.533217935,0.006371244,0.036876073
Os07g0168700,-1.28848137,0.006365433,0.036850764
Os06g0614100,0.835040308,0.006359221,0.036823123
Os06g0705100,0.74337286,0.006348058,0.036766792
Os01g0279200,-0.391566708,0.006340813,0.036733131
Os03g0127600,0.858363592,0.006339364,0.036733047
