geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hd1,hd2,hd3,c1,c2,c3
Os01g0119100,421.8784583,0.38195771,0.215552507,1.771993818,0.076395583,0.225854856,9.163674753,9.375621902,9.371324408,8.65859108,9.123174104,9.220060786
Os01g0119500,324.2065389,0.155302353,0.188979786,0.821793467,0.411194453,0.648690768,8.987470986,8.961707582,8.898579607,8.804535487,8.695333706,9.003960913
Os01g0119800,136.0260674,-0.897861149,0.333133671,-2.695197836,0.007034685,0.039825394,8.056405539,7.842132768,7.632583726,8.395478279,8.610197414,7.885127212
Os01g0120300,3120.61316,0.018585992,0.122406641,0.151838102,0.87931463,0.949831645,11.66439234,11.72734436,11.6794679,11.67699906,11.72016178,11.62010175
Os01g0120400,137.562187,-0.579951517,0.273917627,-2.117247889,0.034238815,0.128806512,7.916111517,7.753024793,8.17619356,8.190939606,8.39970053,8.215696793
Os01g0120500,148.0691662,0.0500303,0.227028257,0.220370367,0.825582722,0.92311665,8.145989136,8.167733581,8.279170582,8.128745156,8.154004603,8.228195122
Os01g0120600,108.7042162,-0.312624883,0.262577697,-1.190599531,0.233810836,0.463228566,7.824026559,8.001462038,7.77488233,7.993756674,8.064590368,8.018330993
Os01g0120700,2957.592619,-0.300189492,0.142087791,-2.112704331,0.034626082,0.129787026,11.62880959,11.36314687,11.36918189,11.78194362,11.82003307,11.621195
Os01g0120800,4528.780089,0.340651168,0.140747125,2.420306396,0.015507435,0.071555375,12.13918633,12.45869458,12.43559164,11.96503995,11.99014596,12.10961289
Os01g0121000,145.8598613,1.090649955,0.300590066,3.628363271,0.000285224,0.003006289,8.354485769,8.492482627,8.444846336,7.461736889,7.936430739,8.047568217
Os01g0121100,439.7584641,-0.28716443,0.189844197,-1.512632119,0.130373131,0.321263596,9.176180253,8.998704519,9.131486149,9.54430756,9.25591808,9.128867561
Os01g0121200,81.40071168,0.121080768,0.287761452,0.420767853,0.673924608,0.835210168,7.871017659,7.765338447,7.702767658,7.684781534,7.736141486,7.762177558
Os01g0121300,93.45747473,-0.32456414,0.267334377,-1.214075586,0.224718862,0.451251677,7.824026559,7.727962013,7.749221745,7.902861774,7.967882489,7.885127212
ENSRNA049471381,2.088522732,1.313019112,1.817245133,0.722532744,0.469967001,0.698692456,6.629510507,6.58094087,6.732910426,6.382921164,6.382921164,6.681063439
Os01g0121500,28.03806808,-0.201767922,0.506905865,-0.398038247,0.690601993,0.846178982,7.115688015,7.24514931,7.170590085,7.286756657,7.384642316,6.976080643
Os01g0121600,102.4165736,-1.063400002,0.264307046,-4.023350942,5.74E-05,0.000794242,7.582512123,7.599888013,7.702767658,8.055656393,8.147357264,8.190312804
Os01g0121700,436.708579,0.220259932,0.17026901,1.293599651,0.195803743,0.414497565,9.250899035,9.386007894,9.225585687,9.226340973,9.110449889,9.027840116
Os01g0121800,419.2719238,0.077017153,0.16662811,0.462209844,0.643930845,0.81635941,9.138319197,9.274767429,9.163569002,9.059683208,9.188118084,9.156862283
Os01g0121900,4.032517868,-0.025448426,1.230040697,-0.020689093,0.98349367,0.993810715,6.629510507,6.824330601,6.585317405,6.777035476,6.555561783,6.7269832
Os01g0121950,24.19407341,0.215432889,0.557229391,0.386614369,0.699041719,0.850978097,7.302009003,6.989265537,7.206863284,7.270378785,6.925972853,7.126313737
Os01g0122000,71.22589598,1.014974292,0.434372253,2.336646242,0.019457586,0.084631085,7.799757015,7.382949211,8.233035374,7.286756657,7.524508672,7.49873261
Os01g0123800,9.892923585,-0.685098865,0.782344858,-0.875699326,0.381193512,0.621291352,6.758985684,6.725366165,6.934298891,7.015314178,6.838068007,6.92502623
Os01g0123900,5.454799051,0.121798853,1.026911137,0.118607003,0.905586717,0.960017812,6.731229274,6.662744367,6.855851386,6.63264485,6.768043181,6.803814466
Os01g0124100,92.98438939,-0.387224953,0.328747004,-1.177881315,0.238843925,0.468994159,7.876754319,7.847822955,7.475323326,8.025114448,8.013511372,7.72432486
Os01g0124200,7928.464379,-0.252719327,0.15124595,-1.670916323,0.094738207,0.260575266,12.94744563,12.94118959,12.65316836,13.13587885,13.26212351,12.87969121
Os01g0124401,33053.80573,-0.173840846,0.146275752,-1.188446091,0.234657707,0.464275622,15.04650266,14.89735455,14.84034748,15.14073251,15.28416871,14.85337283
Os01g0124900,27.11274599,0.130116425,0.496260936,0.262193568,0.793172212,0.905448944,7.191150617,7.153929596,7.285279898,7.164027538,7.327741836,6.999945326
Os01g0125550,74.52747022,0.381961782,0.307363185,1.242705048,0.213976543,0.437607275,7.696804425,7.77144262,7.860198637,7.608365142,7.716844776,7.510738749
Os01g0125600,163.642301,0.313447589,0.241374652,1.298593645,0.19408342,0.412047351,8.362143871,8.294670281,8.400741261,7.961530083,8.338366412,8.190312804
Os01g0125700,86.1436119,-0.338164558,0.313075565,-1.080137178,0.280081098,0.516407713,7.79360427,7.783548074,7.541333985,8.017353464,7.870793591,7.685061398
Os01g0125800,176.8730263,0.01382489,0.218135246,0.063377607,0.949465818,0.979946937,8.327311332,8.251103031,8.42298352,8.354786137,8.231072379,8.391178343
Os01g0125900,1895.007131,-0.349888342,0.171684913,-2.037967901,0.041553143,0.147385962,10.93763354,11.04245262,10.46891205,11.15610384,11.14061651,11.18183693
Os01g0126100,73.75044021,0.726922858,0.403464783,1.801700888,0.071592478,0.215991296,8.216602866,7.501698418,7.654148345,7.619641603,7.424983571,7.534303016
Os01g0126200,58.1873629,1.103582271,0.495086273,2.229070629,0.025809206,0.104786766,7.42669245,7.46105094,8.162693004,7.061401963,7.31289241,7.534303016
Os01g0126600,111.0754355,0.662816399,0.342958086,1.932645493,0.053279884,0.176244574,7.81800947,8.197560409,8.291461905,7.448419513,7.895856762,7.957565238
Os01g0127300,201.6815446,-0.092393319,0.240645176,-0.38394004,0.701022889,0.851997642,8.475318501,8.306293306,8.462785626,8.275551961,8.729609181,8.369145913
Os01g0127400,30.31361928,-0.295239087,0.49528448,-0.596100017,0.551108413,0.756879735,7.332455132,7.116496551,7.119167084,7.124825855,7.182873394,7.486570488
Os01g0127450,6.803185695,0.476089307,1.133927126,0.419858821,0.674588591,0.835663742,6.894183398,6.382921164,6.952154149,6.814385704,6.626926636,6.803814466
Os01g0127500,8.842930703,-0.555483558,1.051899486,-0.528076651,0.597446136,0.786981408,6.758985684,7.004780807,6.382921164,6.910384023,7.023981707,6.681063439
Os01g0127600,670.1933272,-0.273791798,0.181759318,-1.506342568,0.131979256,0.32401116,9.698069205,9.545578769,9.483259192,9.772502261,10.03183737,9.562654951
Os01g0127700,33.11836636,1.40257746,0.475648127,2.948771118,0.003190402,0.021195957,7.342360049,7.373827422,7.617947258,7.015314178,6.952147546,7.163576983
Os01g0127900,56.02698587,-1.338125375,0.34846541,-3.840052233,0.000123008,0.001483218,7.291602706,7.286957904,7.194970604,7.859011982,7.625278371,7.743419746
Os01g0128000,220.6093976,-0.698617441,0.22577853,-3.094259847,0.001973046,0.014427899,8.478808384,8.28293837,8.073501769,8.722465131,8.767145956,8.687606373
Os01g0128100,3.501168972,4.971071837,1.689358602,2.94257941,0.003254903,0.021517125,6.784789717,6.801840916,6.811047944,6.382921164,6.382921164,6.382921164
Os01g0128200,122.3086591,-0.161010937,0.296246237,-0.543503737,0.586783019,0.780315646,8.155042641,8.08749051,7.689108194,7.95333092,8.199547325,8.069030622
Os01g0128300,154.7129046,-0.136498272,0.288746039,-0.472727773,0.636407409,0.811385341,8.006396683,8.306293306,8.211482999,8.571659492,8.140673286,7.988345513
Os01g0128400,2247.02462,0.157086947,0.136892944,1.147516756,0.251168112,0.483703911,11.15196429,11.38329287,11.37366578,11.09698524,11.22463067,11.15640669
